english term	urdu equivalent	suggestions only
apojee	اوج	
applicable, fit	موزوں	
Application: practical application	استعمال: عملی استعمال	
applied	لاگو، عملی، اطلاقی	
apply, apply voltage	لاگو کرنا، برقی دباؤ لاگو کرنا	
approach	پہنچنے کی کوشش کرنا	
approach zero	صفر کے قریب تر	
approximate, approximately, approximation	تخمین، تخمینہ، تخمیناً، تخمینی	
Approximate: we can approximate sinx by its taylor series	ہم سائن کو تخمیناً اس کی ٹیلر تسلسل سے ظاہر کر سکتے ہیں	
approximate: find approximate value of x	ایکس کی قیمت کا تخمینہ لگائیں	
approximation errors	خلل تخمین	
approximation polynomial	تخمینی کثیر رکنی	
Approximate: approximate the curve with a chord	مشابہ	
approximate	قریب قریب قیمت دینا	
approximate: to approximate with	تخمیناً برابر کرنا	
approximate value	اندازاً قیمت	
approximation	تقریب	
approximation polynomial	مشابہ کثیر رکنی	
arbitrarily large (f is non-negative for arbitrarily large x means for every real number n, f is non-negative for an x greater than n)	کسی بھی بڑے عدد سے زیادہ بڑا	
arbitrary: arbitrary constant	اختیاری مستقل	
arbitrary:divide in arbitrary manner	بے قاعدہ	
arc, major arc, minor arc, sub arc	قوس، قوسِ کبیرہ، قوسِ صغیرہ, قوسچہ	
arch	محراب	
Archimedese: archimedian principle	اصول آرشمیدسی، آرشمیدس	
Argand diagram: Jean Robert Argand	ژاں غوبغ اغگن  (فرانسیسی تلفظ)	
argument: the argument of function f(wt+a) is wt+a	دلیل	
Arithmetic (+ -  * /)	علم حساب، حساب	
arithmetic mean	حسابی اوسط	
armature coil, field coil	میدانی لچھا، قوی لچھا	
around a closed loop	بند دائرہ کے گرد، دائرہ کے ہمراہ	
array: broadside, end-fire	چوڑائی جانب اخراجی قطار، لمبائی جانب اخراجی قطار	
artery	شریان	
astronomical unit (au)	فلکیاتی اکائی   149,597,870  کلومیٹر	
aspect ratio	تناسب پہلو	
assert	وثوق سے کہنا	
assign values	قیمت مقرر کرنا، مختص	
assign: preassigned	پیشگی مختص	
associate	وابستہ	
associated Legendre functions	شریک لیژانڈر تفاعل	
Associative, associative law	قانون تلازمی، تلازم	
assume (probability)	اختیار کرنا	
astroids (not asteroids)	ستارہ نما	
astronomy: radio astronomy	ریڈیائی فلکیات	
asymptote, asympototically	متقارب، متقاربی طور پر	
asymptotic expansion	متقارب اتساع	
asymptotically equal	متقاربی برابر	
Atlantic ocean	بحرالقیانوس	
atmosphere	زمینی ہوا	
attenuation constant (waves), attenuation	تضعیفی مستقل، تضعیف	
audible	قابلِ سماعت	
audio frequency	سمعی تعدد	
autonomous (ordinary differential equations)	خود مختار	
auxiliary equation (euler-cauchy eq)	ذیلی مساوات	
available	دستیاب	
axial length	محوری لمبائی، دُھرے کی سمت میں لمبائی	
axial ratio (AR) of polarized wave	شرح رداس	
axiom, axioms	مسلمہ، مسلمات	
axiom (matric)	اصول متعارفہ	
axis	کسی چیز کے اندر وہ خطِ مستقیم جس پر وہ چیز مساوی طور پر گھوم سکتی ہے	
axis, easy axis	آسان محور، آسان سمت، نرم محور، نرم سمت	
axis major, minor axis	محور اکبر، محور اصغر	
axis of oscillation	محور اہتزاز	
axis of polarization	محور تقطیب	
axis of projection	سایہ اندازی کا محور	تظلیلی محور یا تظلیل کا محور
axis of revolution	محورِ طواف	
axis of rotation	گھومنے کا محور	
axis of rotation	گھومنے کا محور	
axis of symmetry	محورِ تشاکل	
axis of torque	مروڑ کا محور	
axis of twist	محورِ پیچ، موڑ کا محور	
axis of x	 کا محور x	
axis: like axis of motor	محور: وہ فرضی خط جس پر کوئی جسم  گھومتا ہے	
axis: vertical axis	انتصابی محور	
back	پشت	
balanced three phase currents	متوازن تین دور کی برقی رو	
balanced transmission line	متوازن ترسیلی تار	
ball:open closed	کھلا گیند، بند گیند	
Balthasar van der Pol	بلتاسار ون در پول	
Band: frequency band	پٹی: تعدی پٹی	
band pass filter	پٹی گذار فلٹر	
band stop filter	پٹی روک فلٹر	
bandwidth	عرض پٹی	
bandwidth: 3dB bandwidth	تین ڈیسی بیل  پٹی	
Barkhausen criteria	برکہازن کا اصول	
bar graph	ڈبہ ترسیم	
base (of a parametric curve)	بنیاد، بنیادی نقطہ	
Base-2 (digital), basis(maths)	اساس دو، اساس	
base (of say a table)	تلا،  پیندا (جیسے پائدان)	
base, perpendicular, hypotenuse	قاعدہ، عمود، وتر	
Basis (maths, vectors)	اساس	
batch	کھیپ	
BCD binary coded decimal	اعشاری اعداد کی دہری علامتیں	
beam, log	لکڑ، شہتیر	
beam solid angle (antenna)	اخراجی ٹھوس زاویہ	
beats	تھاپ	
behavior, behave	رویہ	
bell: bell curve	جرس،  قوس جرس	
bend, turn	مڑنا، واپس پلٹنا	
bending moment	خماو کا معیار اثر	
benzene	بنزین	
Bernard Bolzano (german pronunciation)	برنارت بُلزانو	
Bernoulli: Jacob Bernoulli (ordinary diff eq)	یعقوب برنولی	
Bessel function	بیسل تفاعل	
Beta function	بیٹا تفاعل	
between	بیچ	
bias, bias point	نکتہ کارکردگی	
bifurcation value	دو لختی  قیمت	
big bang (universe)	ابتدائی دھماکا	
binary data, number	ثنائی مواد، عدد	
binomial theorem: persian mathematician Al-Karaji	الکراجی کا مسئلہ ثنائی	Abu Bakr ibn Muhammad ibn al Husayn al Karaji [953-1030]
binomial coefficient, binomial distribution	ثنائی ترتیب، ثنائی سر، ثنائی تقسیم	الکراجی ثنائی سر، الکراجی ثنائی ترتیب
binomial series	الکراجی ثنائی تسلسل	
binormal vector	دوہری عمودی سمتیہ	
biophysicist	ماہر حیاتی طبیعیات	
Biot-savart law	بایوٹ-سیوارٹ کا قانون	
bisector	مساوی متقاطع	
bit	دہرا ہندسہ: ہندسہ	
bit: binary code, binary digit, binary arithmetic	ثنائی need to change in digital book	
blackbody	سیاہ جسم	
blackboard	تختہ سیاہ	
Bliss’s theorem	مسئلہ بلس	
block	ڈبہ، اینٹ	
blocked rotor test	جامد موٹر معائنہ	
block diagram	خانے دار شکل	
blood pressure	فشار خون	
blood sugar	شکر خون	
bobbin	پھرکی، چرخی	
Bode: Hendrik Wade Bode	ہنڈرک واڈ بوڈا	
Bode plots	بوڈا خطوط	
bolt, nut	قابلہ، ڈھبری	
Boltzmann constant	بولٹزمن کا مستقل	
bond, bonded, covalent bond	بند، بندھا، شریک گرفتی بند	
boost converter: power supply	اٹھان منبع	
borrow, carry	حاصل، ادھار	
bounce back	ٹکرا کر واپس پلٹنا	
bound: upper bound	بالائی حد بندی	
bound: upper bound; bounded from above (sequences)	بالائی حد بندی؛ اوپر سے محدود	
bound: least upper bound (sequences)	کم سے کم بالائی حد بندی	
bound electron, charge (used in dielectrics)	مقید یا قید الیکٹران (برقیہ)، بار	
boundary conditions	سرحدی شرائط	
boundary value problems	سرحدی قیمت مسئلے	
Bounded, unbounded (maths)	محدود، غیر محدود	
bounded by sphere	کرہ میں محدود	
boundedness	محدود ہونا	
Braces {}	کنگنی قوسین	
brachistochrone	کم وقتی منحنی	
brackets	قوسین	
brake	بریک، روک	
branch point (Riemann surface)	تقسیمی نقطہ	
break even point	نا منافع نا نقصان	
breaking strength	طاقت توڑ	
Brewster angle	بریوسٹر زاویہ؛ داؤد بریوسٹر کا نام ہے	
bridge: suspension bridge	معلق پل	
briefly	مختصراً	
Brinell hardness	برینل سختی	
broadside array, end-fire array	چوڑائی جانب اخراجی قطار، لمبائی جانب اخراجی قطار	
buffer	مستحکم کار	
buffer, inverting, non inverting	وابسطہ: منفی وابسطہ	
building	عمارت	
bulb	بتی	
bypass capacitor	قصری کپیسٹر	
byte, 8-bit (binary) data, (bit=binary ??)	بائٹ، ہشتم دہری عدد	
cable 	رسی	
calculus	علم الاحصاء	
calculate, compute	بذریعہ حساب تلاش کریں	
calculator	کیلکولیٹر	عداد
calculus	احصاء	
calculus of differences	الاحصاء فرقیات	
calibration	پیمانہ بندی	
californium	کیلی فورنیم	
cam shaft	کیم دھرا	
cancel (common factor}	مشترک جزو ضربی کاٹنا، منسوخ کرنا	
cancellation laws (matrix multiplication)	قواعد تنسیخ	
cancer: anna kane laird, Banjamin Gompertz	سرطان: اینا کین لایرڈ، بنجامن گامپرٹز	
canonical	باضابطہ	
canonical minterm, non-canonical minterm	تفصیلی رکنِ ضرب، سادہ رکنِ ضرب	
Cantor-Dedekind axiom	مسلملہ کنتور اور دے دے کند	
capacitance, inductance	برقی گنجائش، امالہ یا امالیت	
capacitor, inductor	برق گیر، امالہ گیر	
capacitive, inductive	برق گیر کی خاصیت، امالہ کی خاصیت رکھنا، امالی، برق گیری	
capacity, rating	استعداد	
carbon dating	کاربنی تعین زمان	
cardiac output	اخراج قلب	
cardiod [r=a(1-cos x)]	قلب نما	
carrier of energy	انتقالِ توانائی	
carrier frequency, modulating frequency, carrier wave	تعددِ سوار، تعددِ سواری، سوار موج، سواری موج	
carry, transfer	منتقل	
Carry , borrow, sum, end carry	حاصل، ادھار، جمع،بقایا، آخری حاصل	
cart	ریڑھی	
Cartesian co-ordinates system	کارتیسی نظامِ محدد	
carton	گتے کا ڈبا	
cases: three cases	تین صورتیں	
catalyst, autocatalyst	عمل انگیز، خود عمل انگیز	
catenary (maths: hanging chain)	لیزم	
cathode	منفی برقیرہ	
cation	مثبت بارداریہ	
Cauchy	کوشی	
Cauchy: Augustin Louis Cauchy	آگستن لوئی کوشی	
Cauchy condensation test	کوشی پرکھ جمود	
Cauchy's determinant	کوشی مقطع	
Cauchy-Riemann equation	کوشی ریمان مساوات	
Cauchy-Schwarz inequality, Herman Amandus Schwarz	کوشی شوارز عدم مساوات، ہرمن امندس شوارز	
caution	انتباہ	
Cavalieri’s theorem ( Bonaventura Francesco Cavalieri)	مسئلہ کوالئیرے (بوناونتورا کوالئیرے)	
ceiling and floor function	عدد صحیح چھت تفاعل، کم ترین عدد تفاعل	
center of gravity	مرکز ثقل	
center of mass	مرکز کمیت	
central angle	وسطی زاویہ	
centrifugal force	مرکز گریز قوت	
centroid	وسطانی مرکز	میٹریک
celsius, fahrenheit	سیلسیئس، فارن ہائیٹ	
centripetal force	مرکز مائل قوت	
chance	امکان، اتفاق	
chaos	ابتری	
chamber, turbine chamber	خانہ، چرخی خانہ	
chapter	باب	
characteristic, characteristics	خاصیت، خصوصیات ، خصلت	
characteristic: magnitude characteristic, phase characteristic (Bode plot)	مقداری خصلت، زاویائی خصلت	
characteristics	خصوصیات، خط، خطِ منحنی، منحنی	
characteristic equation,  (differential equations as^2+bs+c=0)	امتیازی مساوات	
charge, free, bound	آزاد اور بندھا بار	
charge, discharge a capacitor	بار بھرنا، بار کا نکاس	
charged	بار بردار	
Charles Dalziel (electrical shock)		
chain rule (differentiation)	زنجیری طریقہ	زنجیری قاعدہ
Chebyshev polynomials: Pafnuty Lvovich Tchebichef	چبیشف کثیر رکنی۔ پفنوٹی لوو وچ چبیشف	
check	جانچ پڑتال	
chemistry	علم کیمیا	
chimney	دھواں کش	
chirp (dispersion)	چہچہاہٹ	
chord	خط مستقیم	وتر
circle, concentric circles	گول دائرہ، ہم مرکز دائرے	
circle of curvature	دائرہ انحنا	
circuit breaker	خود کار منقطع کار	
circuit,  electric circuit	برقی دور:موصل کا کوئی ایسا نظام جسے اس طرح ترتیب دیا جائے اور یوں ملایا جائے کہ برقی رو اس کے ذریعے گزر سکے 	
circuit, phase		
circular motion	دائرے پر حرکت	
circulation (fluid motion leading to CURL)	دائری بہاو	دورانیت؟؟
circumference	محیط	
circus	تماش گاہ	
classification	 ابلاغ، ذرائع ابلاغ	جماعت بندی (matric)
class	جماعت	matric
class midpoints, class marks	جماعتی وسطی نقطے، جماعتی نشان	matric
class interval	جماعتی وقفہ	matric
class room	تدریسی کمرہ	
clear, preset	زبردستی بلند، زبردستی پست	
clockwise, anti clock wise	گھڑی کی سوئی کے رخ، گھڑی کی سمت	گھڑی وار، خلاف گھڑی
clock signal	ساعتی اشارہ	
closed, open	بند، کھلا	
closed loop	بند دائرہ	بند حلقہ (میٹرک)
closest, farthest	دور تر، نزدیک تر	
CMRR	مشترکہ اشارہ رد کرنے کے صلاحیت	
coaxial cable	ہمہ محوری تار	
Cobolt	کوبالٹ	
coding	رمز نویسی	
coefficient	ضربیہ، عددی سر	
coefficient matrix	عددی سر قالب	
coefficient: reflection, transmission	شرح انعکاس، شرح ترسیل	
Cofactor (determinants and matrices)	ہم ضربی	
co-president	ہم-صدر	
coil	لچھا،گچھ لچھا، تقسیم شدہ لچھا	
coincidence, coincident lines	ہم مکانیت، ہم مکان خطوط	
coin flipping	سکہ پھیکنا	
collimator	توازی گر	
collinear, noncollinear	ہم خطی، غیر ہم خطی	
column	ستون	
column (matrix)	قطار	
combination: linear combination (maths y3=ay1+by2)	خطی مجموعہ	
combinations, [permutations]	اجتماعات [ترتیبی اجتماعات]	غیر مرتب اجتماعات [مرتب اجتماعات]
combinational circuits	ترکیبی ادوار	
comet	دم دار ستارہ	
common emitter amplifier, common collector and common base	ایمٹر مشترک ایمپلیفائر، کلکٹر مشترک اور بیس مشترک	
common mode signal	مشترکہ اشارہ	
communication	 ابلاغ، ذرائع ابلاغ	
commutative	قابل تبادل	
commutative law, commutative law of multiplication (maths)	قانون تبادل، ضرب کا استبدالی قانون	
commutator	میکانی سمت کار	
commute: A and B commute	الف اور ب آپس میں قابل تبادل ہیں۔	
company	ادارہ	
compare	موازنہ، مقابلہ	
comparison test	تقابلی پرکھ	
complement	متمم	تتمہ (matric)
complementation	اتمام	
complementary	تتمی	matric
complementary angle, antenna	زاویہ مکملہ، تکملہ اینٹینا	زاویہ متمم (بہتر اصطلاح ہے)
complementary solution: natural response (diff eq)	فطری رد عمل	
completeness	مکملیت	
complex analysis, advanced complex analysis	مخلوط تجزیہ، اعلٰی درجہ مخلوط تجزیہ	
complex number	مخلوط عدد: ایک حقیقی عدد جو کسی فرضی عدد کے ساتھ شامل کر لیا جائے	
complex number: real number, imaginary number	مخلوط عدد: حقیقی عدد، خیالی عدد	
complex conjugate, complex conjugate of alpha	جوڑی دار مخلوط، جوڑی دار مخلوط الفا	
complex plane	مخلوط سطح	مخلوط  مستوی
complicated	پیچیدہ	
component	جزو، پرزہ، پرزہ جات	
composite function	مرکب تفاعل	used for compound machine
composition (linear transformations)	نظم تبادلہ	
compound machine: DC	مرکب مشین	
compound machine:short compound machine	قریب مرکب اور دور مرکب مشین	
compressibility, compressibility factor, compressibility coefficient	داب پذیری، جزو داب پذیری، دابیت شرح	
compressible	داب پذیر	
compression	داب؟؟	
compression	دباؤ کی موج	
compute	حساب لگانا	
computer	حاسب	 
computer algebra system	محاسب الجبرائی نظام	
concave, (convex)	مجوف، (محدب) ؟؟	مقعر عدسہ، (محدب عدسہ) matric
concavity	محدبیت	
concentration, concentrated, concentrate	گاڑھاپن، گاڑھا، گاڑھا بنانا، گھنا پن	ارتکاز  conflicts with convergence 
concentrated at a point	نقطہ پر منجمد	
concept	تصور	
conclusive, inconclusive	فیصلہ کن، غیر فیصلہ کن	
conductance (Y=1/Z=G+jB, G is conductance) it is like 1/R	ایصالیت	
conduction current	ایصالی رو	
conduction heat	ایصال حرارت	
conductor, conductivity	موصل، موصلیت،غیر موصل	
conductivity	موصلیت کا مستقل	
cones, rods: eye	مخروطے، سلاخ	
Confidence, confidence interval	اعتماد، وقفہ اعتماد	
confidence: lower and upper confidence limits	نچلی اور بالائی حد اعتماد	بالائی اور زیریں حد اعتماد
confidence level	سطح اعتماد	
conflicting requirements	متصادم ضروریات	
confocal	ہم ماسکہ	
conformal mapping, conformality	محافظ زاویہ نقشہ، محافظت زاویہ	
congruent triangles	مماثل تکون	
conic	مخروطی	
conjugate complex number	زوجی مخلوط اعداد، جوڑی دار مخلوط اعداد	
conjugate harmonic function	جوڑی دار ہارمونی تفاعل	
connected region (simple, multiply)	تعلق (دار) خطہ؟؟	
connected (set)	جڑا  ہوا (سلسلہ)	 
connected: star, Delta	ستارا نما جُڑے، تکونی جُڑے یا تکون نما جُڑے	
connection, connected	جوڑ، جوڑا ہوا	
connectivity	ربط	
conservation of energy	اٹل	
conservative field	بقائی میدان	
consider	ملاحظہ، مشاہدہ، تجزیہ	
consistent, inconsistent (systems, maths)	بلا تضاد، متضاد	
Constant (matric book)	مستقل	
constant: constant current	مستقل برقی رو	
constant: separation constant	علیحدگی مستقل	
constant, variable	مستقل،اٹل،  متغیر	
constant of integration or arbitrary constant	تکمل کا مستقل یا اختیاری مستقل	
constrained, constrained maxima and minima	جبراً پابند، جبری پابند, مشروط زیادہ سے زیادہ اور کم سے کم قیمتیں	
construction (matric)	عمک بناوٹ (تشکیلات)	
consumption matrix	قالب صرف	
contact, bring into contact	تماس میں لانا	
container	برتن	
continued: example continued	مثال جاری	
continuity	استمرار	
continuity equation	استمراری مساوات	
continuity: uniform continuity	یکساں استمرار	
continuous extension	استمراری توسیع	
continuous field, discontinuous	بلا جوڑ میدان، جوڑ دار	استمراری (مسلسل)، غیر استمراری
continuous: piecewise	ٹکڑوں میں استمراری	
continuous: right-continuous, left-continuous	دائیں استمراری، بائیں استمراری	
contour, contour integral	خط ارتفاع، ارتفاعی تکمل	
contraction and expansion	سکڑاو اور پھیلاو	
control	قابو، قابو پانا	
control chart	نقشہ ضبط	
control: out of control	بے قابو	
control process	عمل قابو	
controlled voltage source, controlled current source	تابع منبع دباو، تابع منبع رو	
controlled: voltage controlled voltage source	دباو تابع منبع دباو	
controlled:voltage controlled current source	دباو تابع منبع رو	
control:current controlled voltage source	رو تابع منبع دباو	
control:current controlled current source	رو تابع منبع رو	
convection current (electrical)	اتصالی رو	
convection heat	اتصال حرارت	
converge, convergent	مرکوز، مرتکز	
convergence	مرکوزیت، ارتکاز	
convergence: absolute, conditional	مطلق مرتکز، مشروط مرتکز	
convergence: Gauss's convergence theorem	گاوسی مسئلہ ارتکاز	
convergence factor	ارتکازی جزو	
convergence interval	ارتکازی وقفہ	
convergence radius	رداس ارتکاز	
convergent: absolutely convergent	مطلق مرکوز، مطلق مرتکز	
convergent series, divergent series	مرکوز تسلسل، منفرج تسلسل	
convenient	پر آسائش، موزوں	
conventional	روایتی	
convolution integral	تکمل الجھاو	
convolution theorem	مسئلہ الجھاو	
convolution: time convolution (Fourier transform)	وقتی الجھاو	
coplanar	ہم سطحی	
copper	تانبہ، تانبے کا بنا ہوا	
core, transformer core also called transformer iron	ٹرانسفارمر قالب	ٹرانسفارمر قالب
core laminations	ٹرانسفارمر پتری	ٹرانسفارمر پتری
core loss	ضیاع قالب: قالبی ضیاع	ضیاع قالب: قالبی ضیاع
core, iron core, air core, core-less	لوہے کی قالب؛ خلائی قالب؛ بے قالب	لوہے کی قالب؛ خلائی قالب؛ بے قالب
Coriolis effect	کوریولس اثر	
corollary	ضمنی نتیجہ	
correction	درستگی	
correlation analysis (statistics)	تجزیہ باہمی رشتہ	
corresponding point	نظیری نقطہ	مطابقتی نقطہ
corrugated	نالیدار	
cosine, cosine integral, complementary cosine integral	کوسائن، کوسائن تکمل، متمم کوسائن تکمل	 
cosmic rays	کائناتی شعاعیں	
cost	لاگت	
coupled: magnetically coupled circuits	رابطے میں ہیں۔مقناطیسی میدان کے ذریعہ آپس میں رابطے میں ہیں۔	مربوط لچھے
Coulomb	کولمب	
counter	گنت کار	
counter	متضاد، بالمقابل	
counter clock wise	متضاد گھڑی	
counter emf	متضاد امالی برقی دباؤ	
coupled: magnetically coupled circuits	رابطہ: مقناطیسی رابطہ	
coupled circuits	مزدوج ادوار	
coupler	وابستہ کار	
coupling capacitor, bypass capacitor	جفتی کپیسٹر 	
coupling coefficient: M=k(L1 L2)^(0.5)	ارتباطی مستقل	
covalent bond, bonded	شریک گرفتی بند، بندھا	
CPLDs	مخلوط قابلِ تشکیل ترتیبی ادوار	
Cramer's rule	کریمر کا قاعدہ	
crest: (read wave)	فراز	
criteria	مسلمہ معیار، (نقطہ فاصل جانچنے کا مسلمہ معیار)	
critical: critical damping	فاصل تقصیر	
critical equilibrium, critical angle, critical function, value	نازکی توازن، زاویہ فاصل، فاصل تفاعل، فاصل قیمت	
critical point, value	فاصل نقطہ، فاصل قیمت، نقطہ فاصل	
critical points (phase plane) improper node, proper node, saddle point, centre, spiral point and degenerate node	غیر مناسب جوڑ، مناسب جوڑ، نقطہ زین، وسط، نقطہ مرغولہ، انحطاطی جوڑ	
critical race	بحرانی دوڑ	
rejection region	خطہ نا منظوری	
cross multiply (two men eat 4 eggs, how many men would eat 10 eggs)	ترچھی ضرب	ضرب چلیپائی (میٹرک کتاب)
cross product, vector product	صلیبی ضرب، ضربِ صلیبی، سمتی ضرب	
cross section	عمودی تراش، قطع عمودی: زاویہ قائمہ بناتے ہوئے لمبائی میں کسی چیز کی کٹائی	
cross sectional area	تراشی رقبہ	میڑرک
crystal	قلم	
cube root	جذر الکعب	
cubic equation	کعبی مساوات	
cubic polynomial	کعبی کثیر رکنی	
curl of a function	گردش	
current: conduction current, convection current, displacement current	ایصالی، اتصالی اور انتقالی رو	
current flow	برقی رو کا گزر	
current transformation	بروی رو کا تبادلہ	
current, current carrying	رو، رو بردار	
current: output HIGH current, output LOW current, input HIGH current	بلند خارجی برقی رو، پست خارجی برقی رو، بلند داخلی برقی رو، پست داخلی برقی رو	
current sink	خارج کار برقی رو	گڑھا رو
current source	داخل کار برقی رو، پیدا کار برقی رو	منبع رو
curvature	انحنا	
curvature: circle of curvature, radius of curvature	دائرہ انحنا، رداس انحنا	
curvature: total curvature	مکمل انحنا	
curve, curved surface	قوس، قوسی سطح	
Curve	منحنی۔خطِ منحنی، منحنیات	
curve fitting	تلاش موزوں منحنی	منحنی بٹھانا، موافقت منحنی
curve: simple curve	سادہ منحنی	
curved   	مڑا ہوا، جھکا	انحنائی (میٹرک)
curved line	خم دار خط، مُڑی لکیر، جھکی لکیر	
curved surface	خم دار سطح	
cusp	کنگرہ	
Cut-off mode: transistor	منقطع حال	
cycle	پھیرا	
cycle	چکر	
cycloid, hypocycloid, epicycloid	تدویر، فلک تدویر، بر تدویر	
cylinder	نلی، یکساں قطر والی نلی	
cylindrical co-ordinate system	نلکی نظامِ محدد	
current supply	برقی رو کی سپلائی	
cylindrical surface	بیلنی سطح، اسطوانی سطح	
D'Alembert's solution: Jean Baptiste Le Rond d'Alembert	ژاں باٹِیسٹ لی غوں دا لومبیغ	
dashpot	روک، جاذب	
data	مواد	
data: primary, secondary	ابتدائی مواد، ثانوعی مواد	
datasheet	معلوماتی صفحات	
damage	تباہ	
damped, undamped	قصری، مقصور؛ غیر تقصیری، بلا تقصیر	
damped: under, over, critically	کم مقصور، زیادہ مقصور، فاصل مقصور	
damped motion, damped waves	قصری حرکت، مقصور حرکت، قصری امواج، مقصور امواج	
damping constant, ratio	تقصیری مستقل، تقصیری تناسب	
damping: under damping, over damping, critically damping	کم تقصیر، زیادہ تقصیر، فاصل تقصیر	
undamped	غیر تقصیری، بلا تقصیر، غیر قصری	
